Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:47 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,FEED1 ACC (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 26 ,6/6/2016 9:50:25 PM , 0.75 ,6/6/2016 9:52:25 PM , 1.27 ,6/6/2016 9:54:25 PM , 0.91 ,6/6/2016 9:56:25 PM , 0.98 ,6/6/2016 10:00:25 PM , 0.77 ,6/6/2016 10:02:25 PM , 1.28 ,6/6/2016 10:04:25 PM , 1.52 ,6/6/2016 10:06:25 PM , 0.9 ,
 27 ,6/6/2016 10:10:25 PM , 0.82 ,6/6/2016 10:12:25 PM , 1.44 ,6/6/2016 10:14:25 PM , 0.96 ,6/6/2016 10:16:25 PM , 1.08 ,6/6/2016 10:20:25 PM , 0.82 ,6/6/2016 10:22:25 PM , 1.38 ,6/6/2016 10:24:25 PM , 1.64 ,6/6/2016 10:26:25 PM , 0.99 ,
 28 ,6/6/2016 10:30:25 PM , 0.91 ,6/6/2016 10:32:25 PM , 1.65 ,6/6/2016 10:34:25 PM , 1.05 ,6/6/2016 10:36:25 PM , 1.26 ,6/6/2016 10:40:25 PM , 0.9 ,6/6/2016 10:42:25 PM , 1.42 ,6/6/2016 10:44:25 PM , 1.72 ,6/6/2016 10:46:25 PM , 1.08 ,
 29 ,6/6/2016 10:50:25 PM , 0.95 ,6/6/2016 10:52:25 PM , 1.71 ,6/6/2016 10:54:25 PM , 1.08 ,6/6/2016 10:56:25 PM , 1.35 ,6/6/2016 11:00:25 PM , 0.98 ,6/6/2016 11:02:25 PM , 1.52 ,6/6/2016 11:04:25 PM , 1.9 ,6/6/2016 11:06:25 PM , 1.15 ,
 30 ,6/6/2016 11:10:25 PM , 1.02 ,6/6/2016 11:12:25 PM , 1.72 ,6/6/2016 11:14:25 PM , 1.23 ,6/6/2016 11:16:25 PM , 1.45 ,6/6/2016 11:20:25 PM , 1.07 ,6/6/2016 11:22:25 PM , 1.59 ,6/6/2016 11:24:25 PM , 2.02 ,6/6/2016 11:26:25 PM , 1.18 ,
 31 ,6/6/2016 11:30:25 PM , 1.11 ,6/6/2016 11:32:25 PM , 1.73 ,6/6/2016 11:34:25 PM , 1.27 ,6/6/2016 11:36:25 PM , 1.57 ,6/6/2016 11:40:25 PM , 1.1 ,6/6/2016 11:42:25 PM , 1.75 ,6/6/2016 11:44:25 PM , 2.14 ,6/6/2016 11:46:25 PM , 1.27 ,
 32 ,6/6/2016 11:50:25 PM , 1.22 ,6/6/2016 11:52:25 PM , 1.83 ,6/6/2016 11:54:25 PM , 1.3 ,6/6/2016 11:56:25 PM , 1.64 ,6/7/2016 12:00:25 AM , 1.21 ,6/7/2016 12:02:25 AM , 1.75 ,6/7/2016 12:04:25 AM , 2.3 ,6/7/2016 12:06:25 AM , 1.31 ,
 33 ,6/7/2016 12:10:25 AM , 1.3 ,6/7/2016 12:12:25 AM , 1.99 ,6/7/2016 12:14:25 AM , 1.31 ,6/7/2016 12:16:25 AM , 1.72 ,6/7/2016 12:20:25 AM , 1.27 ,6/7/2016 12:22:25 AM , 1.75 ,6/7/2016 12:24:25 AM , 2.41 ,6/7/2016 12:26:25 AM , 1.45 ,
 34 ,6/7/2016 12:30:25 AM , 1.37 ,6/7/2016 12:32:25 AM , 1.99 ,6/7/2016 12:34:25 AM , 1.55 ,6/7/2016 12:36:25 AM , 1.72 ,6/7/2016 12:40:25 AM , 1.23 ,6/7/2016 12:42:25 AM , 1.8 ,6/7/2016 12:44:25 AM , 2.51 ,6/7/2016 12:46:25 AM , 1.45 ,
 35 ,6/7/2016 12:50:25 AM , 1.47 ,6/7/2016 12:52:25 AM , 1.99 ,6/7/2016 12:54:25 AM , 1.66 ,6/7/2016 12:56:25 AM , 1.85 ,6/7/2016 1:00:25 AM , 1.36 ,6/7/2016 1:02:25 AM , 1.89 ,6/7/2016 1:04:25 AM , 2.61 ,6/7/2016 1:06:25 AM , 1.5 ,
