Oxymax CSV File 

CSV Generation Date,6/13/2016 9:08:49 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0105
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G36
Subject Mass (G), 28.2 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0105,6/6/2016 1:40:25 PM ,2854,20.94,20.68,0.26,0.0,2335,0.040,0.259,0.220,0.0,0.818,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,82,14,55,16,5,1.1,0.5,16.3,24.8,767.0,ON,
2,0105,6/6/2016 2:00:25 PM ,3723,20.94,20.60,0.34,0.0,3196,0.039,0.340,0.301,0.0,0.858,0.5,0.50,STABLE,0.00,0.00,0.000,0.000,731,338,376,177,55,1.1,0.5,16.3,24.8,767.0,ON,
3,0105,6/6/2016 2:20:25 PM ,3296,20.94,20.64,0.30,0.1,2822,0.039,0.305,0.265,0.1,0.856,0.5,0.50,STABLE,0.01,0.01,0.000,0.000,593,120,429,101,19,1.1,0.5,16.3,24.8,766.8,ON,
4,0105,6/6/2016 2:40:25 PM ,3745,20.94,20.60,0.35,0.1,3417,0.039,0.361,0.321,0.1,0.912,0.5,0.50,STABLE,0.09,0.10,0.000,0.000,1397,706,766,374,200,1.0,0.5,16.2,24.8,766.8,ON,
5,0105,6/6/2016 3:00:25 PM ,3182,20.94,20.66,0.29,0.1,2657,0.039,0.289,0.250,0.1,0.835,0.4,0.50,STABLE,-0.10,0.00,0.000,0.000,503,121,353,126,5,1.0,0.5,16.4,24.8,766.5,ON,
6,0105,6/6/2016 3:20:25 PM ,2884,20.94,20.68,0.26,0.2,2400,0.039,0.265,0.226,0.1,0.832,0.4,0.50,STABLE,0.10,0.10,0.000,0.000,475,164,272,131,26,1.1,0.5,16.4,24.8,766.5,ON,
7,0105,6/6/2016 3:40:25 PM ,3463,20.94,20.63,0.32,0.2,2969,0.039,0.318,0.279,0.2,0.857,0.5,0.50,STABLE,0.02,0.12,0.000,0.000,986,308,601,236,90,1.1,0.5,16.4,24.8,766.5,ON,
8,0105,6/6/2016 4:00:25 PM ,3143,20.95,20.66,0.28,0.2,2510,0.039,0.275,0.236,0.2,0.799,0.4,0.50,STABLE,0.01,0.13,0.000,0.000,513,98,373,89,6,1.1,0.5,16.9,24.8,766.3,ON,
9,0105,6/6/2016 4:20:25 PM ,3668,20.95,20.61,0.33,0.3,3070,0.039,0.328,0.289,0.2,0.837,0.5,0.50,STABLE,0.01,0.14,0.000,0.000,647,279,346,149,123,1.0,0.5,19.6,24.9,766.3,ON,
10,0105,6/6/2016 4:40:25 PM ,3532,20.95,20.62,0.32,0.3,2988,0.039,0.320,0.281,0.2,0.846,0.5,0.50,STABLE,0.03,0.17,0.000,0.000,781,176,588,174,76,1.0,0.5,19.6,25.0,766.3,ON,
11,0105,6/6/2016 5:00:25 PM ,3195,20.95,20.66,0.29,0.3,2553,0.039,0.279,0.240,0.3,0.799,0.4,0.50,STABLE,0.00,0.17,0.000,0.000,227,19,40,12,0,1.0,0.5,19.6,25.0,766.0,ON,
12,0105,6/6/2016 5:20:25 PM ,3480,20.95,20.63,0.32,0.3,2917,0.039,0.314,0.274,0.3,0.838,0.5,0.50,DYNAMIC,0.06,0.23,0.000,0.000,228,66,160,62,3,1.0,0.5,19.7,25.0,766.0,ON,
13,0105,6/6/2016 5:40:25 PM ,3073,20.95,20.66,0.28,0.4,2648,0.039,0.288,0.249,0.3,0.862,0.4,0.50,STABLE,0.03,0.26,0.000,0.000,172,78,76,41,8,1.0,0.5,19.9,25.0,766.0,ON,
14,0105,6/6/2016 6:00:25 PM ,4002,20.95,20.58,0.37,0.4,3626,0.039,0.380,0.341,0.3,0.906,0.6,0.50,STABLE,0.03,0.29,0.000,0.000,723,305,498,204,61,1.0,0.5,20.3,25.0,766.0,OFF,
15,0105,6/6/2016 6:20:25 PM ,4300,20.94,20.55,0.39,0.5,3658,0.039,0.383,0.344,0.4,0.851,0.6,0.50,STABLE,0.09,0.38,0.000,0.000,1968,1130,1236,690,540,1.1,0.5,19.9,25.0,765.7,OFF,
16,0105,6/6/2016 6:40:25 PM ,4400,20.94,20.54,0.40,0.5,3792,0.039,0.396,0.357,0.4,0.862,0.6,0.50,STABLE,0.03,0.41,0.000,0.000,1988,1194,1307,706,620,1.0,0.5,19.6,24.9,765.5,OFF,
17,0105,6/6/2016 7:00:25 PM ,4480,20.94,20.54,0.40,0.5,3572,0.039,0.376,0.336,0.5,0.797,0.6,0.50,STABLE,0.02,0.43,0.000,0.000,1917,1053,1150,616,401,1.0,0.5,19.8,24.7,765.5,OFF,
18,0105,6/6/2016 7:20:25 PM ,4162,20.94,20.56,0.38,0.6,3350,0.039,0.355,0.315,0.5,0.805,0.6,0.50,STABLE,0.00,0.43,0.000,0.000,1900,1004,1040,502,261,1.1,0.5,20.8,24.7,765.5,OFF,
19,0105,6/6/2016 7:40:25 PM ,3721,20.94,20.60,0.34,0.6,3084,0.039,0.330,0.290,0.5,0.829,0.5,0.50,STABLE,0.07,0.50,0.000,0.000,1151,631,614,343,139,1.0,0.5,21.1,24.6,765.2,OFF,
20,0105,6/6/2016 8:00:25 PM ,4598,20.94,20.52,0.42,0.7,3831,0.039,0.400,0.361,0.5,0.833,0.6,0.50,STABLE,0.02,0.52,0.000,0.000,2070,1203,1421,826,765,1.0,0.5,21.2,24.6,765.2,OFF,
21,0105,6/6/2016 8:20:25 PM ,4538,20.94,20.52,0.41,0.7,3822,0.039,0.399,0.360,0.6,0.842,0.6,0.50,DYNAMIC,-0.02,0.50,0.000,0.000,1788,766,1089,536,289,1.1,0.5,21.1,24.6,765.0,OFF,
22,0105,6/6/2016 8:40:25 PM ,4450,20.93,20.53,0.41,0.7,3781,0.039,0.395,0.356,0.6,0.850,0.6,0.50,STABLE,0.12,0.62,0.000,0.000,1937,1060,1217,677,451,1.1,0.5,20.3,24.4,765.0,OFF,
23,0105,6/6/2016 9:00:25 PM ,4289,20.94,20.55,0.39,0.8,3588,0.040,0.377,0.338,0.7,0.837,0.6,0.50,STABLE,0.03,0.65,0.000,0.000,2075,1122,1174,630,284,1.0,0.5,20.6,24.3,765.0,OFF,
24,0105,6/6/2016 9:20:25 PM ,3855,20.93,20.58,0.35,0.8,3354,0.040,0.355,0.316,0.7,0.870,0.5,0.50,STABLE,0.03,0.68,0.000,0.000,1276,567,824,344,67,1.1,0.5,20.8,24.3,765.0,OFF,
25,0105,6/6/2016 9:40:25 PM ,4325,20.93,20.54,0.39,0.9,3666,0.040,0.385,0.345,0.7,0.848,0.6,0.50,DYNAMIC,0.06,0.74,0.000,0.000,2876,1855,1414,823,530,1.1,0.5,21.4,24.2,765.0,OFF,
26,0105,6/6/2016 10:00:25 PM ,3263,20.93,20.64,0.30,0.9,2811,0.040,0.304,0.265,0.8,0.862,0.4,0.50,STABLE,0.03,0.77,0.000,0.000,1037,409,659,221,44,1.0,0.5,21.6,24.2,765.0,OFF,
27,0105,6/6/2016 10:20:25 PM ,4458,20.93,20.52,0.41,0.9,3987,0.040,0.415,0.375,0.8,0.894,0.6,0.50,STABLE,0.05,0.82,0.020,0.020,3286,2205,1883,1148,812,1.0,0.5,21.6,24.2,765.0,OFF,
28,0105,6/6/2016 10:40:25 PM ,4204,20.93,20.54,0.39,1.0,3882,0.040,0.405,0.365,0.8,0.923,0.6,0.50,DYNAMIC,0.08,0.90,0.020,0.040,3014,1972,1494,896,439,1.0,0.5,22.2,24.2,765.0,OFF,
29,0105,6/6/2016 11:00:25 PM ,4289,20.93,20.54,0.40,1.0,3965,0.040,0.413,0.373,0.9,0.924,0.6,0.50,STABLE,0.08,0.98,0.020,0.060,2807,1833,1632,963,533,1.1,0.5,22.3,24.2,764.7,OFF,
30,0105,6/6/2016 11:20:25 PM ,4064,20.93,20.56,0.38,1.0,3797,0.040,0.397,0.357,0.9,0.934,0.6,0.50,DYNAMIC,0.09,1.07,0.040,0.100,2321,1431,1392,825,356,1.1,0.5,21.7,24.2,764.7,OFF,
31,0105,6/6/2016 11:40:25 PM ,3971,20.93,20.56,0.37,1.1,3759,0.040,0.394,0.354,0.9,0.947,0.6,0.50,STABLE,0.03,1.10,0.040,0.140,1724,999,1082,588,600,1.1,0.5,21.1,24.2,764.7,OFF,
32,0105,6/7/2016 12:00:25 AM ,3652,20.93,20.60,0.34,1.1,3335,0.040,0.354,0.314,1.0,0.913,0.5,0.50,STABLE,0.11,1.21,0.000,0.140,1635,963,1011,560,320,1.0,0.5,20.1,24.2,764.7,OFF,
33,0105,6/7/2016 12:20:25 AM ,4040,20.93,20.56,0.38,1.2,3860,0.040,0.403,0.363,1.0,0.955,0.6,0.50,STABLE,0.06,1.27,0.060,0.200,1239,742,791,435,228,1.1,0.5,19.6,24.2,764.5,OFF,
34,0105,6/7/2016 12:40:25 AM ,3796,20.93,20.58,0.35,1.2,3566,0.040,0.375,0.335,1.0,0.939,0.5,0.50,STABLE,-0.04,1.23,0.000,0.200,2369,1392,1455,827,267,1.1,0.5,19.6,24.2,764.5,OFF,
35,0105,6/7/2016 1:00:25 AM ,3707,20.93,20.59,0.34,1.2,3358,0.040,0.356,0.316,1.1,0.906,0.5,0.50,STABLE,0.13,1.36,0.020,0.220,1781,990,1090,578,234,1.1,0.5,19.6,24.2,764.2,OFF,
36,0105,6/7/2016 1:20:25 AM ,3734,20.93,20.59,0.35,1.3,3541,0.040,0.373,0.333,1.1,0.948,0.5,0.50,STABLE,0.09,1.45,0.000,0.220,1010,427,753,301,114,1.0,0.5,19.6,24.2,764.2,OFF,
