Oxymax CSV File 

CSV Generation Date,6/13/2016 9:09:02 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0107
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G38
Subject Mass (G), 26.79 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,6/6/2016 1:44:25 PM ,3234,20.94,20.66,0.28,0.0,2662,0.040,0.278,0.238,0.0,0.823,0.4,0.50,STABLE,0.05,0.05,0.000,0.000,146,33,186,145,0,1.0,0.5,16.3,24.8,767.0,ON,
2,0107,6/6/2016 2:04:25 PM ,3108,20.94,20.67,0.27,0.0,2780,0.039,0.288,0.248,0.0,0.894,0.4,0.50,STABLE,0.08,0.13,0.000,0.000,93,28,100,78,3,1.0,0.5,16.3,24.8,767.0,ON,
3,0107,6/6/2016 2:24:25 PM ,3152,20.94,20.67,0.28,0.1,2798,0.039,0.289,0.250,0.0,0.888,0.4,0.50,STABLE,0.06,0.19,0.000,0.000,153,48,186,153,2,1.0,0.5,16.2,24.8,766.8,ON,
4,0107,6/6/2016 2:44:25 PM ,3324,20.94,20.65,0.29,0.1,2886,0.039,0.297,0.258,0.1,0.868,0.4,0.50,STABLE,0.06,0.25,0.000,0.000,50,9,71,57,0,1.0,0.5,16.3,24.8,766.8,ON,
5,0107,6/6/2016 3:04:25 PM ,2830,20.94,20.70,0.25,0.1,2620,0.039,0.273,0.234,0.1,0.926,0.4,0.50,STABLE,0.07,0.32,0.000,0.000,87,12,57,44,3,1.0,0.5,16.4,24.8,766.5,ON,
6,0107,6/6/2016 3:24:25 PM ,3307,20.94,20.66,0.29,0.1,2931,0.039,0.301,0.262,0.1,0.886,0.4,0.50,STABLE,0.03,0.35,0.000,0.000,377,42,509,372,0,1.0,0.5,16.4,24.8,766.5,ON,
7,0107,6/6/2016 3:44:25 PM ,2939,20.94,20.69,0.25,0.2,2487,0.039,0.261,0.222,0.1,0.846,0.4,0.50,STABLE,0.02,0.37,0.000,0.000,37,7,87,62,0,1.0,0.5,16.4,24.8,766.3,ON,
8,0107,6/6/2016 4:04:25 PM ,3279,20.95,20.66,0.28,0.2,2727,0.039,0.283,0.244,0.2,0.831,0.4,0.50,STABLE,0.06,0.43,0.000,0.000,106,26,73,60,1,1.0,0.4,17.9,24.8,766.3,ON,
9,0107,6/6/2016 4:24:25 PM ,2921,20.95,20.69,0.26,0.2,2606,0.039,0.272,0.233,0.2,0.892,0.4,0.50,STABLE,0.02,0.45,0.000,0.000,71,24,104,83,0,1.0,0.5,19.6,24.9,766.3,ON,
10,0107,6/6/2016 4:44:25 PM ,3257,20.95,20.66,0.28,0.3,2882,0.039,0.297,0.258,0.2,0.885,0.4,0.50,STABLE,0.07,0.52,0.000,0.000,158,48,154,127,2,1.0,0.5,19.6,25.0,766.3,ON,
11,0107,6/6/2016 5:04:25 PM ,3737,20.95,20.62,0.33,0.3,3560,0.039,0.357,0.318,0.2,0.953,0.5,0.50,STABLE,0.02,0.54,0.000,0.000,695,95,480,377,7,1.0,0.5,19.6,25.0,766.0,ON,
12,0107,6/6/2016 5:24:25 PM ,2785,20.95,20.71,0.24,0.3,2343,0.039,0.248,0.209,0.3,0.841,0.4,0.50,STABLE,0.02,0.56,0.000,0.000,191,20,160,115,0,1.0,0.5,19.9,25.0,766.0,ON,
13,0107,6/6/2016 5:44:25 PM ,3064,20.95,20.68,0.26,0.3,2523,0.039,0.265,0.225,0.3,0.823,0.4,0.50,STABLE,0.01,0.57,0.000,0.000,80,23,65,53,2,1.0,0.5,20.0,25.0,766.0,ON,
14,0107,6/6/2016 6:04:25 PM ,3932,20.95,20.60,0.34,0.4,3466,0.039,0.349,0.310,0.3,0.881,0.5,0.50,STABLE,0.09,0.66,0.000,0.000,1143,642,816,680,136,1.0,0.5,20.2,25.0,765.7,OFF,
15,0107,6/6/2016 6:24:25 PM ,3543,20.94,20.64,0.31,0.4,2994,0.039,0.307,0.268,0.4,0.845,0.5,0.50,STABLE,0.07,0.73,0.000,0.000,430,102,529,423,6,1.0,0.5,19.9,25.0,765.7,OFF,
16,0107,6/6/2016 6:44:25 PM ,4189,20.94,20.58,0.36,0.4,3687,0.039,0.369,0.330,0.4,0.880,0.5,0.50,STABLE,0.06,0.79,0.000,0.000,2101,1377,1595,1347,486,1.0,0.5,19.6,24.9,765.5,OFF,
17,0107,6/6/2016 7:04:25 PM ,4084,20.94,20.58,0.36,0.5,3829,0.039,0.381,0.342,0.4,0.937,0.5,0.50,STABLE,0.06,0.85,0.000,0.000,1419,837,1204,1021,406,1.1,0.5,20.0,24.7,765.5,OFF,
18,0107,6/6/2016 7:24:25 PM ,4081,20.94,20.58,0.36,0.5,3789,0.039,0.378,0.339,0.5,0.928,0.5,0.50,STABLE,0.09,0.94,0.000,0.000,1783,1065,1195,986,256,1.1,0.5,20.8,24.6,765.5,OFF,
19,0107,6/6/2016 7:44:25 PM ,4105,20.94,20.58,0.36,0.5,3780,0.039,0.377,0.338,0.5,0.921,0.5,0.50,STABLE,0.08,1.02,0.000,0.000,2038,1268,1379,1183,566,1.0,0.5,21.1,24.6,765.2,OFF,
20,0107,6/6/2016 8:04:25 PM ,4113,20.94,20.57,0.36,0.6,3921,0.039,0.390,0.350,0.5,0.953,0.5,0.50,STABLE,0.05,1.07,0.000,0.000,2635,1808,1714,1474,636,1.1,0.5,21.3,24.6,765.2,OFF,
21,0107,6/6/2016 8:24:25 PM ,4340,20.94,20.55,0.38,0.6,4009,0.039,0.398,0.358,0.6,0.924,0.6,0.50,STABLE,0.04,1.11,0.000,0.000,2464,1652,1536,1340,537,1.1,0.5,20.9,24.6,765.0,OFF,
22,0107,6/6/2016 8:44:25 PM ,4220,20.93,20.56,0.37,0.7,3991,0.039,0.396,0.357,0.6,0.946,0.6,0.50,STABLE,0.07,1.18,0.000,0.000,1724,998,1511,1268,467,1.1,0.5,20.3,24.3,765.0,OFF,
23,0107,6/6/2016 9:04:25 PM ,4421,20.94,20.55,0.39,0.7,4114,0.040,0.407,0.368,0.6,0.931,0.6,0.50,STABLE,0.09,1.27,0.000,0.000,2073,1363,1495,1292,513,1.1,0.5,20.7,24.3,765.0,OFF,
24,0107,6/6/2016 9:24:25 PM ,4361,20.93,20.55,0.38,0.7,4045,0.040,0.401,0.362,0.7,0.928,0.6,0.50,STABLE,0.09,1.36,0.000,0.000,2203,1422,1567,1332,654,1.0,0.5,20.9,24.3,765.0,OFF,
25,0107,6/6/2016 9:44:25 PM ,4240,20.93,20.56,0.37,0.8,3820,0.040,0.381,0.341,0.7,0.901,0.6,0.50,STABLE,0.05,1.41,0.000,0.000,1569,818,1475,1235,347,1.1,0.5,21.5,24.2,765.0,OFF,
26,0107,6/6/2016 10:04:25 PM ,4312,20.93,20.55,0.38,0.8,4166,0.040,0.412,0.372,0.7,0.966,0.6,0.50,STABLE,0.11,1.52,0.000,0.000,2186,1401,1445,1271,458,1.1,0.5,21.5,24.2,765.0,OFF,
27,0107,6/6/2016 10:24:25 PM ,3951,20.93,20.58,0.35,0.9,3874,0.040,0.386,0.346,0.8,0.981,0.5,0.50,STABLE,0.12,1.64,0.000,0.000,1201,660,1083,897,187,1.1,0.5,21.8,24.2,765.0,OFF,
28,0107,6/6/2016 10:44:25 PM ,4396,20.93,20.54,0.39,0.9,4412,0.040,0.434,0.394,0.8,1.004,0.6,0.50,STABLE,0.08,1.72,0.100,0.100,1571,1006,1087,928,330,1.1,0.5,22.2,24.2,765.0,OFF,
29,0107,6/6/2016 11:04:25 PM ,4243,20.93,20.55,0.38,0.9,4390,0.040,0.432,0.392,0.8,1.035,0.6,0.50,STABLE,0.18,1.90,0.040,0.140,2409,1667,1672,1438,356,1.1,0.5,22.2,24.2,764.7,OFF,
30,0107,6/6/2016 11:24:25 PM ,4096,20.93,20.57,0.37,1.0,4170,0.040,0.413,0.372,0.9,1.018,0.6,0.50,STABLE,0.12,2.02,0.040,0.180,2752,1865,1790,1563,452,1.0,0.5,21.5,24.2,764.7,OFF,
31,0107,6/6/2016 11:44:25 PM ,4346,20.93,20.54,0.39,1.0,4471,0.040,0.439,0.399,0.9,1.029,0.6,0.50,STABLE,0.12,2.14,0.040,0.220,1943,1144,1753,1464,266,1.0,0.5,20.9,24.2,764.7,OFF,
32,0107,6/7/2016 12:04:25 AM ,4151,20.93,20.56,0.37,1.0,4257,0.040,0.420,0.380,1.0,1.026,0.6,0.50,STABLE,0.16,2.30,0.080,0.300,1460,815,1234,1053,252,1.1,0.5,19.9,24.2,764.5,OFF,
33,0107,6/7/2016 12:24:25 AM ,4041,20.93,20.57,0.36,1.1,4116,0.040,0.408,0.368,1.0,1.019,0.5,0.50,STABLE,0.11,2.41,0.060,0.360,2015,1229,1598,1405,313,1.1,0.5,19.6,24.2,764.5,OFF,
34,0107,6/7/2016 12:44:25 AM ,3240,20.93,20.64,0.29,1.1,3377,0.040,0.342,0.302,1.0,1.042,0.4,0.50,STABLE,0.10,2.51,0.060,0.420,823,316,769,635,42,1.0,0.5,19.6,24.2,764.5,OFF,
35,0107,6/7/2016 1:04:25 AM ,3988,20.93,20.57,0.36,1.1,4114,0.040,0.407,0.368,1.1,1.032,0.5,0.50,STABLE,0.10,2.61,0.100,0.520,1923,1225,1390,1186,365,1.0,0.5,19.6,24.2,764.2,OFF,
36,0107,6/7/2016 1:24:25 AM ,4178,20.93,20.56,0.38,1.2,4303,0.040,0.424,0.384,1.1,1.030,0.6,0.50,STABLE,0.10,2.71,0.040,0.560,1129,496,997,819,114,1.1,0.5,19.6,24.2,764.2,OFF,
