Oxymax CSV File 

CSV Generation Date,6/13/2016 9:08:31 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0102
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G27
Subject Mass (G), 29.09 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0102,6/6/2016 1:32:25 PM ,4628,20.95,20.51,0.44,0.0,4199,0.040,0.448,0.408,0.0,0.907,0.7,0.50,STABLE,0.00,0.00,0.000,0.000,240,74,189,69,134,1.0,0.5,16.4,24.8,767.0,ON,
2,0102,6/6/2016 1:52:25 PM ,3855,20.94,20.58,0.36,0.0,3333,0.039,0.363,0.324,0.0,0.865,0.5,0.50,STABLE,0.02,0.02,0.000,0.000,408,112,339,131,51,1.0,0.5,16.3,24.8,767.0,ON,
3,0102,6/6/2016 2:12:25 PM ,4376,20.94,20.52,0.42,0.1,4116,0.039,0.438,0.399,0.1,0.941,0.6,0.50,STABLE,0.10,0.12,0.000,0.000,1249,747,649,317,714,1.0,0.5,16.4,24.8,767.0,ON,
4,0102,6/6/2016 2:32:25 PM ,3517,20.94,20.61,0.34,0.1,3314,0.039,0.360,0.321,0.1,0.942,0.5,0.50,STABLE,0.00,0.12,0.000,0.000,32,12,36,5,0,1.0,0.5,16.2,24.8,766.8,ON,
5,0102,6/6/2016 2:52:25 PM ,4616,20.94,20.51,0.44,0.2,4105,0.039,0.437,0.398,0.1,0.889,0.7,0.50,STABLE,0.01,0.13,0.000,0.000,334,170,150,64,129,1.0,0.5,16.4,24.8,766.8,ON,
6,0102,6/6/2016 3:12:25 PM ,4583,20.94,20.50,0.44,0.2,4494,0.039,0.475,0.436,0.2,0.981,0.7,0.50,STABLE,0.14,0.27,0.020,0.020,1377,669,578,208,363,1.1,0.5,16.4,24.8,766.5,ON,
7,0102,6/6/2016 3:32:25 PM ,4533,20.94,20.51,0.44,0.2,4313,0.039,0.457,0.418,0.2,0.951,0.7,0.50,STABLE,0.00,0.27,0.000,0.020,189,57,84,19,257,1.0,0.5,16.4,24.8,766.5,ON,
8,0102,6/6/2016 3:52:25 PM ,3353,20.95,20.63,0.32,0.3,3106,0.039,0.340,0.301,0.3,0.926,0.5,0.50,STABLE,0.02,0.29,0.000,0.020,794,406,400,167,348,1.0,0.5,16.4,24.8,766.3,ON,
9,0102,6/6/2016 4:12:25 PM ,3541,20.94,20.61,0.34,0.3,3145,0.039,0.344,0.305,0.3,0.888,0.5,0.50,STABLE,0.00,0.29,0.000,0.020,66,25,43,14,0,1.1,0.5,19.3,24.8,766.3,ON,
10,0102,6/6/2016 4:32:25 PM ,3607,20.95,20.61,0.34,0.4,3099,0.039,0.340,0.301,0.3,0.859,0.5,0.50,STABLE,0.00,0.29,0.020,0.040,45,4,31,10,0,1.0,0.5,19.6,25.0,766.3,ON,
11,0102,6/6/2016 4:52:25 PM ,4856,20.95,20.49,0.46,0.4,4251,0.039,0.452,0.413,0.4,0.876,0.7,0.50,STABLE,0.01,0.30,0.000,0.040,446,297,211,97,329,1.0,0.5,19.6,25.0,766.3,ON,
12,0102,6/6/2016 5:12:25 PM ,3714,20.95,20.59,0.36,0.4,3453,0.039,0.374,0.335,0.4,0.930,0.5,0.50,STABLE,0.06,0.36,0.000,0.040,858,318,579,180,167,1.0,0.5,19.6,25.0,766.0,ON,
13,0102,6/6/2016 5:32:25 PM ,3661,20.95,20.60,0.35,0.5,3197,0.039,0.349,0.310,0.4,0.873,0.5,0.50,STABLE,0.00,0.36,0.000,0.040,18,7,17,2,0,1.0,0.5,19.9,25.0,766.0,ON,
14,0102,6/6/2016 5:52:25 PM ,3542,20.95,20.61,0.33,0.5,2993,0.039,0.330,0.291,0.5,0.845,0.5,0.50,STABLE,0.00,0.36,0.000,0.040,168,38,281,77,8,1.0,0.5,20.2,25.0,766.0,ON,
15,0102,6/6/2016 6:12:25 PM ,5160,20.95,20.46,0.49,0.6,4389,0.039,0.465,0.426,0.5,0.851,0.7,0.50,STABLE,0.07,0.43,0.000,0.040,749,300,306,116,101,1.1,0.5,19.9,25.0,765.7,OFF,
16,0102,6/6/2016 6:32:25 PM ,4480,20.94,20.51,0.43,0.6,4392,0.039,0.465,0.426,0.5,0.980,0.7,0.50,STABLE,0.06,0.49,0.000,0.040,627,228,419,168,22,1.0,0.5,19.6,24.9,765.7,OFF,
17,0102,6/6/2016 6:52:25 PM ,5351,20.94,20.43,0.52,0.6,5188,0.039,0.543,0.503,0.6,0.970,0.8,0.50,STABLE,0.09,0.58,0.020,0.060,1026,568,499,263,294,1.0,0.5,19.6,24.8,765.5,OFF,
18,0102,6/6/2016 7:12:25 PM ,5187,20.94,20.44,0.50,0.7,5272,0.039,0.551,0.511,0.6,1.017,0.8,0.50,STABLE,0.11,0.69,0.100,0.160,1698,948,941,452,411,1.0,0.5,20.5,24.7,765.5,OFF,
19,0102,6/6/2016 7:32:25 PM ,4927,20.94,20.46,0.48,0.7,5083,0.039,0.532,0.493,0.7,1.032,0.7,0.50,DYNAMIC,0.11,0.80,0.020,0.180,1468,874,873,453,613,1.0,0.5,21.1,24.6,765.5,OFF,
20,0102,6/6/2016 7:52:25 PM ,4971,20.94,20.46,0.48,0.8,5089,0.039,0.533,0.494,0.7,1.024,0.7,0.50,STABLE,0.05,0.85,0.000,0.180,1233,504,843,281,238,1.1,0.5,21.1,24.6,765.2,OFF,
21,0102,6/6/2016 8:12:25 PM ,5062,20.94,20.45,0.49,0.8,5002,0.039,0.525,0.485,0.8,0.988,0.7,0.50,STABLE,0.10,0.95,0.040,0.220,755,409,387,179,146,1.0,0.5,21.3,24.6,765.0,OFF,
22,0102,6/6/2016 8:32:25 PM ,5097,20.94,20.44,0.50,0.9,5199,0.040,0.544,0.504,0.8,1.020,0.8,0.50,STABLE,0.09,1.04,0.080,0.300,1335,714,787,359,295,1.0,0.5,20.8,24.5,765.0,OFF,
23,0102,6/6/2016 8:52:25 PM ,4542,20.93,20.49,0.44,0.9,4593,0.040,0.485,0.446,0.9,1.011,0.7,0.50,STABLE,0.06,1.10,0.000,0.300,423,202,236,115,112,1.1,0.5,20.5,24.3,765.0,OFF,
24,0102,6/6/2016 9:12:25 PM ,4972,20.94,20.45,0.49,1.0,5193,0.040,0.543,0.504,0.9,1.045,0.7,0.50,DYNAMIC,0.17,1.27,0.080,0.380,1138,578,759,369,286,1.1,0.5,20.8,24.3,765.0,OFF,
25,0102,6/6/2016 9:32:25 PM ,3449,20.93,20.60,0.34,1.0,3482,0.040,0.377,0.338,1.0,1.010,0.5,0.50,STABLE,0.00,1.27,0.020,0.400,483,138,296,115,55,1.0,0.5,21.2,24.2,765.0,OFF,
26,0102,6/6/2016 9:52:25 PM ,5351,20.93,20.42,0.52,1.1,5292,0.040,0.553,0.513,1.0,0.989,0.8,0.50,STABLE,0.00,1.27,0.000,0.400,1086,764,327,177,494,1.0,0.5,21.6,24.2,765.0,OFF,
27,0102,6/6/2016 10:12:25 PM ,5503,20.93,20.40,0.53,1.1,5553,0.040,0.578,0.539,1.1,1.009,0.8,0.50,DYNAMIC,0.17,1.44,0.000,0.400,2610,1857,993,525,1698,1.1,0.5,21.6,24.2,765.0,OFF,
28,0102,6/6/2016 10:32:25 PM ,5263,20.93,20.42,0.52,1.2,5511,0.040,0.574,0.534,1.1,1.047,0.8,0.50,STABLE,0.21,1.65,0.120,0.520,1796,1127,848,433,823,1.1,0.5,22.2,24.2,765.0,OFF,
29,0102,6/6/2016 10:52:25 PM ,4828,20.93,20.46,0.47,1.2,5155,0.040,0.540,0.500,1.2,1.068,0.7,0.50,STABLE,0.06,1.71,0.040,0.560,1025,456,798,283,305,1.1,0.5,22.3,24.2,765.0,OFF,
30,0102,6/6/2016 11:12:25 PM ,4933,20.93,20.45,0.48,1.3,5042,0.040,0.529,0.489,1.2,1.022,0.7,0.50,STABLE,0.01,1.72,0.040,0.600,1636,900,906,398,1040,1.0,0.5,22.0,24.2,764.7,OFF,
31,0102,6/6/2016 11:32:25 PM ,3591,20.93,20.59,0.35,1.3,3527,0.040,0.382,0.342,1.3,0.982,0.5,0.50,STABLE,0.01,1.73,0.000,0.600,288,120,141,58,41,1.0,0.5,21.3,24.2,764.7,OFF,
32,0102,6/6/2016 11:52:25 PM ,4996,20.93,20.45,0.48,1.4,4829,0.040,0.509,0.469,1.3,0.967,0.7,0.50,DYNAMIC,0.10,1.83,0.000,0.600,452,246,266,119,289,1.1,0.5,20.5,24.2,764.7,OFF,
33,0102,6/7/2016 12:12:25 AM ,4966,20.93,20.45,0.49,1.4,5156,0.040,0.540,0.500,1.4,1.038,0.7,0.50,STABLE,0.16,1.99,0.080,0.680,1180,636,689,319,405,1.0,0.5,19.6,24.2,764.5,OFF,
34,0102,6/7/2016 12:32:25 AM ,3137,20.93,20.63,0.31,1.4,3174,0.040,0.348,0.308,1.4,1.012,0.5,0.50,STABLE,0.00,1.99,0.000,0.680,216,48,152,41,3,1.1,0.5,19.6,24.2,764.5,OFF,
35,0102,6/7/2016 12:52:25 AM ,5580,20.93,20.39,0.54,1.5,5571,0.040,0.580,0.540,1.4,0.998,0.8,0.50,DYNAMIC,0.00,1.99,0.000,0.680,736,523,317,154,797,1.0,0.5,19.6,24.2,764.5,OFF,
36,0102,6/7/2016 1:12:25 AM ,5061,20.93,20.44,0.49,1.5,5254,0.040,0.549,0.510,1.5,1.038,0.8,0.50,STABLE,0.23,2.22,0.080,0.760,1661,1085,813,428,848,1.1,0.5,19.6,24.2,764.2,OFF,
37,0102,6/7/2016 1:32:25 AM ,3509,20.93,20.59,0.34,1.6,3726,0.040,0.401,0.361,1.5,1.062,0.5,0.50,STABLE,0.00,2.22,0.020,0.780,339,75,275,84,14,1.0,0.5,19.6,24.2,764.2,OFF,
