Oxymax CSV File 

CSV Generation Date,6/13/2016 9:08:37 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0103
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G28
Subject Mass (G), 29.91 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,6/6/2016 1:34:25 PM ,2800,20.95,20.68,0.27,0.0,2269,0.040,0.267,0.226,0.0,0.810,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,98,0,32,8,0,1.0,0.5,16.3,24.8,767.0,ON,
2,0103,6/6/2016 1:54:25 PM ,4241,20.94,20.53,0.41,0.0,3492,0.039,0.388,0.349,0.0,0.824,0.6,0.50,STABLE,0.00,0.00,0.000,0.000,406,176,302,122,93,1.0,0.5,16.4,24.8,767.0,ON,
3,0103,6/6/2016 2:14:25 PM ,3436,20.94,20.61,0.33,0.1,2978,0.039,0.336,0.297,0.1,0.867,0.5,0.50,STABLE,0.06,0.06,0.000,0.000,829,288,754,266,134,1.0,0.5,16.4,24.8,767.0,ON,
4,0103,6/6/2016 2:34:25 PM ,2766,20.94,20.68,0.27,0.1,2257,0.039,0.264,0.225,0.1,0.816,0.4,0.50,STABLE,0.00,0.06,0.000,0.000,102,10,47,3,0,1.1,0.5,16.2,24.8,766.8,ON,
5,0103,6/6/2016 2:54:25 PM ,3575,20.94,20.60,0.34,0.1,2908,0.039,0.329,0.290,0.1,0.813,0.5,0.50,STABLE,0.03,0.09,0.000,0.000,453,134,454,147,23,1.0,0.5,16.4,24.8,766.8,ON,
6,0103,6/6/2016 3:14:25 PM ,2886,20.94,20.67,0.28,0.2,2348,0.039,0.273,0.234,0.1,0.814,0.4,0.50,STABLE,-0.01,0.08,0.000,0.000,51,4,57,18,0,1.0,0.5,16.4,24.8,766.5,ON,
7,0103,6/6/2016 3:34:25 PM ,2847,20.94,20.67,0.27,0.2,2294,0.039,0.268,0.229,0.2,0.806,0.4,0.50,STABLE,0.00,0.08,0.000,0.000,41,13,58,21,0,1.0,0.5,16.4,24.8,766.5,ON,
8,0103,6/6/2016 3:54:25 PM ,3407,20.95,20.62,0.33,0.2,2768,0.039,0.315,0.276,0.2,0.812,0.5,0.50,STABLE,0.06,0.14,0.000,0.000,354,118,303,102,9,1.0,0.5,16.4,24.8,766.3,ON,
9,0103,6/6/2016 4:14:25 PM ,2755,20.94,20.68,0.27,0.3,2319,0.039,0.270,0.231,0.2,0.842,0.4,0.50,STABLE,-0.01,0.13,0.000,0.000,149,19,221,34,0,1.0,0.4,19.4,24.9,766.3,ON,
10,0103,6/6/2016 4:34:25 PM ,2908,20.95,20.67,0.28,0.3,2374,0.039,0.276,0.237,0.2,0.816,0.4,0.50,STABLE,0.01,0.14,0.000,0.000,44,20,65,27,0,1.0,0.5,19.6,25.0,766.3,ON,
11,0103,6/6/2016 4:54:25 PM ,2708,20.95,20.69,0.26,0.3,2144,0.039,0.253,0.214,0.3,0.792,0.4,0.50,STABLE,0.00,0.14,0.000,0.000,58,14,76,15,0,1.0,0.5,19.6,25.0,766.3,ON,
12,0103,6/6/2016 5:14:25 PM ,3443,20.95,20.61,0.34,0.3,3134,0.039,0.352,0.313,0.3,0.910,0.5,0.50,STABLE,0.07,0.21,0.000,0.000,589,254,689,243,43,1.0,0.5,19.6,25.0,766.0,ON,
13,0103,6/6/2016 5:34:25 PM ,2913,20.95,20.67,0.28,0.4,2458,0.039,0.284,0.245,0.3,0.844,0.4,0.50,STABLE,0.00,0.21,0.000,0.000,269,35,252,50,0,1.0,0.5,19.9,25.0,766.0,ON,
14,0103,6/6/2016 5:54:25 PM ,3264,20.95,20.63,0.31,0.4,2662,0.039,0.305,0.266,0.3,0.816,0.5,0.50,STABLE,0.04,0.25,0.000,0.000,100,32,77,33,0,1.0,0.5,20.2,25.0,766.0,ON,
15,0103,6/6/2016 6:14:25 PM ,2867,20.95,20.67,0.28,0.4,2535,0.039,0.292,0.253,0.4,0.884,0.4,0.50,STABLE,0.02,0.27,0.000,0.000,231,48,203,64,5,1.1,0.5,19.9,25.0,765.7,OFF,
16,0103,6/6/2016 6:34:25 PM ,4294,20.94,20.53,0.42,0.5,3735,0.039,0.412,0.373,0.4,0.870,0.6,0.50,DYNAMIC,-0.01,0.26,0.000,0.000,633,261,585,177,97,1.0,0.5,19.6,24.9,765.7,OFF,
17,0103,6/6/2016 6:54:25 PM ,3869,20.94,20.57,0.37,0.5,3291,0.039,0.368,0.328,0.4,0.851,0.6,0.50,DYNAMIC,0.04,0.30,0.000,0.000,1146,457,1290,413,144,1.1,0.5,19.6,24.7,765.5,OFF,
18,0103,6/6/2016 7:14:25 PM ,3345,20.94,20.62,0.32,0.6,2770,0.039,0.316,0.276,0.5,0.828,0.5,0.50,STABLE,0.04,0.34,0.000,0.000,806,297,708,210,121,1.0,0.5,20.5,24.7,765.5,OFF,
19,0103,6/6/2016 7:34:25 PM ,3256,20.94,20.63,0.31,0.6,2550,0.039,0.294,0.255,0.5,0.783,0.5,0.50,STABLE,0.04,0.38,0.000,0.000,547,207,424,155,28,1.0,0.5,21.1,24.6,765.5,OFF,
20,0103,6/6/2016 7:54:25 PM ,4067,20.94,20.54,0.39,0.6,3536,0.039,0.392,0.353,0.5,0.869,0.6,0.50,STABLE,0.08,0.46,0.000,0.000,843,476,517,266,272,1.0,0.5,21.1,24.6,765.2,OFF,
21,0103,6/6/2016 8:14:25 PM ,3134,20.94,20.63,0.31,0.7,2927,0.039,0.332,0.292,0.6,0.934,0.5,0.50,STABLE,0.07,0.53,0.000,0.000,662,226,698,227,102,1.0,0.5,21.3,24.6,765.0,OFF,
22,0103,6/6/2016 8:34:25 PM ,2951,20.94,20.65,0.29,0.7,2722,0.040,0.311,0.272,0.6,0.922,0.4,0.50,STABLE,0.07,0.60,0.000,0.000,556,306,455,195,104,1.0,0.5,20.8,24.5,765.0,OFF,
23,0103,6/6/2016 8:54:25 PM ,3160,20.93,20.62,0.31,0.7,2864,0.040,0.325,0.286,0.6,0.906,0.5,0.50,STABLE,0.04,0.64,0.000,0.000,515,218,415,164,57,1.1,0.5,20.5,24.3,765.0,OFF,
24,0103,6/6/2016 9:14:25 PM ,3648,20.94,20.58,0.36,0.8,3293,0.040,0.368,0.329,0.6,0.903,0.5,0.50,STABLE,0.12,0.76,0.000,0.000,476,168,431,190,3,1.1,0.5,20.7,24.3,765.0,OFF,
25,0103,6/6/2016 9:34:25 PM ,3683,20.93,20.57,0.36,0.8,3470,0.040,0.386,0.346,0.7,0.942,0.5,0.50,STABLE,0.05,0.81,0.000,0.000,972,512,962,418,160,1.1,0.5,21.3,24.2,765.0,OFF,
26,0103,6/6/2016 9:54:25 PM ,3410,20.93,20.60,0.34,0.8,3194,0.040,0.358,0.319,0.7,0.937,0.5,0.50,STABLE,0.10,0.91,0.000,0.000,790,422,607,280,104,1.1,0.5,21.6,24.2,765.0,OFF,
27,0103,6/6/2016 10:14:25 PM ,3780,20.93,20.56,0.38,0.9,3748,0.040,0.414,0.374,0.7,0.992,0.6,0.50,STABLE,0.05,0.96,0.000,0.000,874,434,739,286,174,1.1,0.5,21.6,24.2,765.0,OFF,
28,0103,6/6/2016 10:34:25 PM ,3659,20.93,20.57,0.36,0.9,3465,0.040,0.386,0.346,0.8,0.947,0.5,0.50,STABLE,0.09,1.05,0.000,0.000,785,363,755,376,101,1.0,0.5,22.2,24.2,765.0,OFF,
29,0103,6/6/2016 10:54:25 PM ,3531,20.93,20.58,0.35,0.9,3454,0.040,0.384,0.345,0.8,0.978,0.5,0.50,STABLE,0.03,1.08,0.060,0.060,1233,627,1122,506,253,1.0,0.5,22.3,24.2,765.0,OFF,
30,0103,6/6/2016 11:14:25 PM ,3708,20.93,20.57,0.37,1.0,3481,0.040,0.387,0.347,0.8,0.939,0.6,0.50,STABLE,0.15,1.23,0.000,0.060,755,395,627,281,78,1.0,0.5,21.9,24.2,764.7,OFF,
31,0103,6/6/2016 11:34:25 PM ,2690,20.93,20.67,0.27,1.0,2718,0.040,0.311,0.271,0.9,1.010,0.4,0.50,STABLE,0.04,1.27,0.000,0.060,265,104,263,102,3,1.1,0.5,21.2,24.2,764.7,OFF,
32,0103,6/6/2016 11:54:25 PM ,2731,20.93,20.66,0.27,1.0,2777,0.040,0.317,0.277,0.9,1.017,0.4,0.50,STABLE,0.03,1.30,0.000,0.060,231,78,130,52,0,1.1,0.5,20.4,24.2,764.7,OFF,
33,0103,6/7/2016 12:14:25 AM ,2672,20.93,20.67,0.26,1.1,2438,0.040,0.283,0.243,0.9,0.912,0.4,0.50,STABLE,0.01,1.31,0.000,0.060,68,14,77,28,0,1.0,0.5,19.6,24.2,764.5,OFF,
34,0103,6/7/2016 12:34:25 AM ,4010,20.93,20.53,0.40,1.1,4036,0.040,0.443,0.403,1.0,1.006,0.6,0.50,STABLE,0.24,1.55,0.060,0.120,1115,620,852,412,153,1.0,0.5,19.6,24.2,764.5,OFF,
35,0103,6/7/2016 12:54:25 AM ,3119,20.93,20.62,0.31,1.1,3300,0.040,0.369,0.329,1.0,1.058,0.5,0.50,STABLE,0.11,1.66,0.000,0.120,945,488,885,377,252,1.0,0.5,19.6,24.2,764.5,OFF,
36,0103,6/7/2016 1:14:25 AM ,2692,20.93,20.66,0.27,1.2,2860,0.040,0.325,0.285,1.0,1.063,0.4,0.50,STABLE,0.16,1.82,0.000,0.120,657,307,805,329,36,1.0,0.5,19.6,24.2,764.2,OFF,
37,0103,6/7/2016 1:34:25 AM ,2538,20.93,20.68,0.26,1.2,2699,0.040,0.309,0.269,1.1,1.064,0.4,0.50,DYNAMIC,0.01,1.83,0.020,0.140,218,56,170,50,6,1.0,0.5,19.6,24.2,764.0,OFF,
