Oxymax CSV File 

CSV Generation Date,6/13/2016 9:09:08 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0108
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G40
Subject Mass (G), 32.35 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0108,6/6/2016 1:46:25 PM ,2628,20.94,20.67,0.27,0.0,1996,0.040,0.255,0.215,0.0,0.760,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,35,5,25,8,0,1.1,0.5,16.3,24.8,767.0,ON,
2,0108,6/6/2016 2:06:25 PM ,2743,20.94,20.66,0.28,0.0,2079,0.039,0.264,0.224,0.0,0.758,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,244,54,196,60,1,1.1,0.5,16.3,24.8,767.0,ON,
3,0108,6/6/2016 2:26:25 PM ,2337,20.94,20.70,0.24,0.1,1744,0.039,0.227,0.188,0.0,0.746,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,97,27,98,15,0,1.0,0.5,16.2,24.8,766.8,ON,
4,0108,6/6/2016 2:46:25 PM ,2442,20.94,20.69,0.25,0.1,1797,0.039,0.233,0.194,0.1,0.736,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,4,0,47,9,0,1.0,0.5,16.4,24.8,766.8,ON,
5,0108,6/6/2016 3:06:25 PM ,2368,20.94,20.70,0.24,0.1,1740,0.039,0.227,0.188,0.1,0.735,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,10,0,13,2,0,1.0,0.5,16.4,24.8,766.5,ON,
6,0108,6/6/2016 3:26:25 PM ,2652,20.94,20.67,0.27,0.1,2010,0.039,0.256,0.217,0.1,0.758,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,83,2,24,12,0,1.0,0.5,16.4,24.8,766.5,ON,
7,0108,6/6/2016 3:46:25 PM ,2638,20.94,20.67,0.27,0.2,2005,0.039,0.255,0.216,0.1,0.760,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,30,3,32,13,0,1.1,0.5,16.4,24.8,766.3,ON,
8,0108,6/6/2016 4:06:25 PM ,3351,20.95,20.60,0.34,0.2,2589,0.039,0.318,0.280,0.1,0.773,0.5,0.50,STABLE,0.00,0.00,0.000,0.000,93,18,135,31,3,1.0,0.5,18.0,24.8,766.3,ON,
9,0108,6/6/2016 4:26:25 PM ,2796,20.95,20.66,0.29,0.2,2089,0.039,0.265,0.226,0.2,0.747,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,297,21,220,43,4,1.0,0.5,19.6,24.9,766.3,ON,
10,0108,6/6/2016 4:46:25 PM ,2405,20.95,20.70,0.25,0.3,1764,0.039,0.230,0.190,0.2,0.734,0.4,0.50,STABLE,0.03,0.03,0.000,0.000,425,53,329,78,1,1.1,0.5,19.6,25.0,766.3,ON,
11,0108,6/6/2016 5:06:25 PM ,2823,20.95,20.66,0.29,0.3,2110,0.039,0.267,0.228,0.2,0.748,0.4,0.50,STABLE,0.03,0.06,0.020,0.020,57,9,25,7,0,1.0,0.5,19.6,25.0,766.0,ON,
12,0108,6/6/2016 5:26:25 PM ,2980,20.95,20.64,0.30,0.3,2211,0.039,0.278,0.239,0.2,0.742,0.5,0.50,STABLE,-0.01,0.05,0.000,0.020,231,42,190,26,8,1.0,0.5,19.9,25.0,766.0,ON,
13,0108,6/6/2016 5:46:25 PM ,2760,20.95,20.66,0.28,0.3,2048,0.039,0.260,0.221,0.3,0.742,0.4,0.50,STABLE,-0.01,0.04,0.000,0.020,85,3,9,4,0,1.0,0.5,20.1,25.0,766.0,ON,
14,0108,6/6/2016 6:06:25 PM ,4079,20.95,20.52,0.42,0.4,3231,0.039,0.388,0.349,0.3,0.792,0.6,0.50,STABLE,0.00,0.04,0.000,0.020,283,113,326,114,28,1.1,0.5,20.1,25.0,765.7,OFF,
15,0108,6/6/2016 6:26:25 PM ,4133,20.94,20.52,0.42,0.4,3184,0.039,0.383,0.344,0.3,0.770,0.6,0.50,STABLE,0.02,0.06,0.000,0.020,1846,1078,1150,586,351,1.0,0.5,19.8,25.0,765.7,OFF,
16,0108,6/6/2016 6:46:25 PM ,4177,20.94,20.51,0.43,0.5,3268,0.039,0.392,0.353,0.4,0.782,0.6,0.50,STABLE,0.06,0.12,0.020,0.040,2048,1259,1254,642,581,1.0,0.5,19.6,24.9,765.5,OFF,
17,0108,6/6/2016 7:06:25 PM ,4037,20.94,20.52,0.42,0.5,3271,0.039,0.393,0.353,0.4,0.810,0.6,0.50,STABLE,0.03,0.15,0.000,0.040,2032,1200,1295,610,657,1.1,0.5,20.1,24.7,765.5,OFF,
18,0108,6/6/2016 7:26:25 PM ,3907,20.94,20.53,0.41,0.6,3362,0.039,0.402,0.363,0.4,0.861,0.6,0.50,STABLE,0.09,0.24,0.000,0.040,1554,819,1071,495,347,1.0,0.5,20.9,24.6,765.5,OFF,
19,0108,6/6/2016 7:46:25 PM ,4025,20.94,20.51,0.43,0.6,3738,0.039,0.443,0.403,0.5,0.929,0.6,0.50,STABLE,0.11,0.35,0.020,0.060,2138,1318,1087,573,594,1.1,0.5,21.1,24.6,765.2,OFF,
20,0108,6/6/2016 8:06:25 PM ,4039,20.94,20.51,0.43,0.6,3856,0.039,0.456,0.416,0.5,0.955,0.7,0.50,STABLE,0.09,0.44,0.000,0.060,1922,977,962,425,611,1.1,0.5,21.3,24.6,765.2,OFF,
21,0108,6/6/2016 8:26:25 PM ,3943,20.94,20.52,0.42,0.7,3521,0.039,0.420,0.380,0.5,0.893,0.6,0.50,STABLE,0.06,0.50,0.000,0.060,2077,1150,1143,511,661,1.0,0.5,20.9,24.6,765.0,OFF,
22,0108,6/6/2016 8:46:25 PM ,3810,20.93,20.53,0.41,0.7,3624,0.039,0.430,0.391,0.6,0.951,0.6,0.50,DYNAMIC,0.06,0.56,0.020,0.080,1881,1117,1244,636,1098,1.0,0.5,20.4,24.3,765.0,OFF,
23,0108,6/6/2016 9:06:25 PM ,4115,20.94,20.50,0.43,0.8,3623,0.040,0.431,0.391,0.6,0.880,0.7,0.50,STABLE,0.06,0.62,0.000,0.080,2742,1901,1523,908,1664,1.1,0.5,20.6,24.3,765.0,OFF,
24,0108,6/6/2016 9:26:25 PM ,4108,20.93,20.50,0.43,0.8,3668,0.040,0.436,0.396,0.7,0.893,0.7,0.50,STABLE,0.04,0.66,0.020,0.100,2460,1495,1456,747,1292,1.1,0.5,21.0,24.3,765.0,OFF,
25,0108,6/6/2016 9:46:25 PM ,4198,20.93,20.49,0.45,0.9,3858,0.040,0.456,0.416,0.7,0.919,0.7,0.50,STABLE,0.12,0.78,0.000,0.100,2058,1195,1151,553,1006,1.0,0.5,21.5,24.2,765.0,OFF,
26,0108,6/6/2016 10:06:25 PM ,3835,20.93,20.53,0.40,0.9,3428,0.040,0.410,0.370,0.7,0.894,0.6,0.50,STABLE,0.12,0.90,0.080,0.180,2108,1366,1228,687,1136,1.0,0.5,21.6,24.2,765.0,OFF,
27,0108,6/6/2016 10:26:25 PM ,3930,20.93,20.51,0.42,0.9,3719,0.040,0.441,0.401,0.8,0.946,0.6,0.50,STABLE,0.09,0.99,0.060,0.240,2031,1247,1198,617,861,1.1,0.5,22.0,24.2,765.0,OFF,
28,0108,6/6/2016 10:46:25 PM ,3836,20.93,20.52,0.41,1.0,3602,0.040,0.429,0.389,0.8,0.939,0.6,0.50,STABLE,0.09,1.08,0.040,0.280,1623,739,1154,511,514,1.0,0.5,22.2,24.2,765.0,OFF,
29,0108,6/6/2016 11:06:25 PM ,3901,20.93,20.52,0.42,1.0,3690,0.040,0.438,0.398,0.9,0.946,0.6,0.50,STABLE,0.07,1.15,0.080,0.360,2215,1408,1352,752,1062,1.0,0.5,22.2,24.2,764.7,OFF,
30,0108,6/6/2016 11:26:25 PM ,3873,20.93,20.52,0.41,1.1,3578,0.040,0.426,0.386,0.9,0.924,0.6,0.50,STABLE,0.03,1.18,0.080,0.440,1642,805,1336,568,387,1.1,0.5,21.4,24.2,764.7,OFF,
31,0108,6/6/2016 11:46:25 PM ,4022,20.93,20.51,0.43,1.1,3742,0.040,0.444,0.404,0.9,0.930,0.6,0.50,STABLE,0.09,1.27,0.000,0.440,2070,1297,1376,788,936,1.0,0.5,20.8,24.2,764.7,OFF,
32,0108,6/7/2016 12:06:25 AM ,3568,20.93,20.56,0.38,1.2,3264,0.040,0.392,0.352,1.0,0.915,0.6,0.50,DYNAMIC,0.04,1.31,0.000,0.440,970,221,997,321,80,1.0,0.5,19.8,24.2,764.5,OFF,
33,0108,6/7/2016 12:26:25 AM ,3590,20.93,20.55,0.38,1.2,3424,0.040,0.409,0.369,1.0,0.954,0.6,0.50,STABLE,0.14,1.45,0.080,0.520,1493,833,977,453,424,1.1,0.5,19.6,24.2,764.5,OFF,
34,0108,6/7/2016 12:46:25 AM ,3747,20.93,20.54,0.39,1.2,3276,0.040,0.394,0.354,1.1,0.875,0.6,0.50,STABLE,0.00,1.45,0.060,0.580,1509,663,928,359,234,1.1,0.5,19.6,24.2,764.5,OFF,
35,0108,6/7/2016 1:06:25 AM ,3213,20.93,20.59,0.34,1.3,2795,0.040,0.342,0.302,1.1,0.870,0.5,0.50,STABLE,0.05,1.50,0.020,0.600,1250,666,731,319,276,1.1,0.5,19.6,24.2,764.2,OFF,
36,0108,6/7/2016 1:26:25 AM ,3710,20.93,20.54,0.39,1.3,3295,0.040,0.395,0.356,1.1,0.888,0.6,0.50,STABLE,0.14,1.64,0.000,0.600,1205,663,840,387,256,1.0,0.5,19.6,24.2,764.2,OFF,
