Oxymax CSV File 

CSV Generation Date,6/13/2016 9:08:56 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0106
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G37
Subject Mass (G), 28.09 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0106,6/6/2016 1:42:25 PM ,2615,20.94,20.71,0.23,0.0,2078,0.040,0.234,0.195,0.0,0.795,0.4,0.50,STABLE,0.02,0.02,0.000,0.000,146,25,91,27,0,1.1,0.5,16.3,24.8,767.0,ON,
2,0106,6/6/2016 2:02:25 PM ,2664,20.94,20.70,0.24,0.0,2073,0.039,0.234,0.194,0.0,0.778,0.4,0.50,STABLE,-0.02,0.00,0.000,0.000,42,7,13,1,0,1.0,0.5,16.4,24.8,767.0,ON,
3,0106,6/6/2016 2:22:25 PM ,4057,20.94,20.58,0.37,0.1,3367,0.039,0.355,0.316,0.0,0.830,0.6,0.50,STABLE,0.07,0.07,0.000,0.000,608,274,269,116,164,1.1,0.5,16.2,24.8,766.8,ON,
4,0106,6/6/2016 2:42:25 PM ,3003,20.94,20.67,0.27,0.1,2628,0.039,0.285,0.246,0.1,0.875,0.4,0.50,STABLE,0.03,0.10,0.000,0.000,496,117,271,98,18,1.0,0.5,16.2,24.8,766.8,ON,
5,0106,6/6/2016 3:02:25 PM ,3023,20.94,20.67,0.28,0.1,2638,0.039,0.286,0.247,0.1,0.873,0.4,0.50,STABLE,0.04,0.14,0.000,0.000,226,88,96,42,4,1.0,0.5,16.4,24.8,766.5,ON,
6,0106,6/6/2016 3:22:25 PM ,2705,20.94,20.70,0.25,0.1,2417,0.039,0.266,0.226,0.1,0.893,0.4,0.50,STABLE,0.04,0.18,0.000,0.000,129,25,50,11,0,1.0,0.5,16.4,24.8,766.5,ON,
7,0106,6/6/2016 3:42:25 PM ,2666,20.94,20.70,0.24,0.2,2328,0.039,0.257,0.218,0.1,0.873,0.4,0.50,STABLE,0.02,0.20,0.000,0.000,219,37,179,48,3,1.0,0.5,16.4,24.8,766.5,ON,
8,0106,6/6/2016 4:02:25 PM ,3036,20.95,20.67,0.28,0.2,2762,0.039,0.298,0.259,0.2,0.910,0.4,0.50,STABLE,0.09,0.29,0.000,0.000,194,55,83,31,4,1.0,0.5,17.6,24.8,766.3,ON,
9,0106,6/6/2016 4:22:25 PM ,3514,20.95,20.62,0.32,0.2,3283,0.039,0.347,0.308,0.2,0.934,0.5,0.50,STABLE,0.03,0.32,0.000,0.000,486,107,321,109,51,1.0,0.5,19.6,24.9,766.3,ON,
10,0106,6/6/2016 4:42:25 PM ,2770,20.95,20.69,0.26,0.3,2573,0.039,0.280,0.241,0.2,0.929,0.4,0.50,STABLE,0.04,0.36,0.000,0.000,170,30,86,17,0,1.1,0.5,19.6,25.0,766.3,ON,
11,0106,6/6/2016 5:02:25 PM ,3181,20.95,20.66,0.29,0.3,2776,0.039,0.299,0.260,0.2,0.873,0.4,0.50,STABLE,0.03,0.39,0.000,0.000,77,18,22,5,0,1.1,0.5,19.6,25.0,766.0,ON,
12,0106,6/6/2016 5:22:25 PM ,2958,20.95,20.67,0.27,0.3,2761,0.039,0.298,0.259,0.3,0.933,0.4,0.50,STABLE,0.05,0.44,0.000,0.000,158,58,65,26,3,1.0,0.5,19.8,25.0,766.0,ON,
13,0106,6/6/2016 5:42:25 PM ,2768,20.95,20.69,0.26,0.3,2585,0.039,0.281,0.242,0.3,0.934,0.4,0.50,STABLE,0.06,0.50,0.000,0.000,137,42,48,9,0,1.0,0.5,20.0,25.0,766.0,ON,
14,0106,6/6/2016 6:02:25 PM ,3006,20.95,20.67,0.28,0.4,2773,0.039,0.299,0.260,0.3,0.922,0.4,0.50,STABLE,0.03,0.53,0.000,0.000,59,14,48,17,0,1.0,0.5,20.3,25.0,766.0,OFF,
15,0106,6/6/2016 6:22:25 PM ,4412,20.94,20.54,0.40,0.4,3706,0.039,0.387,0.347,0.4,0.840,0.6,0.50,STABLE,0.03,0.56,0.060,0.060,1516,866,752,372,551,1.0,0.5,19.9,25.0,765.7,OFF,
16,0106,6/6/2016 6:42:25 PM ,4375,20.94,20.55,0.40,0.4,3811,0.039,0.396,0.357,0.4,0.871,0.6,0.50,STABLE,0.05,0.61,0.000,0.060,1384,753,792,357,463,1.0,0.5,19.6,24.9,765.5,OFF,
17,0106,6/6/2016 7:02:25 PM ,3610,20.94,20.61,0.33,0.5,3105,0.039,0.330,0.291,0.4,0.860,0.5,0.50,STABLE,0.04,0.65,0.000,0.060,1705,987,825,377,525,1.0,0.5,19.9,24.7,765.5,OFF,
18,0106,6/6/2016 7:22:25 PM ,4375,20.94,20.54,0.40,0.5,3663,0.039,0.383,0.343,0.5,0.837,0.6,0.50,STABLE,0.05,0.70,0.000,0.060,2140,1351,952,523,780,1.0,0.5,20.8,24.6,765.5,OFF,
19,0106,6/6/2016 7:42:25 PM ,3620,20.94,20.61,0.33,0.6,3163,0.039,0.336,0.296,0.5,0.874,0.5,0.50,STABLE,0.05,0.75,0.000,0.060,1515,914,765,392,510,1.0,0.5,21.1,24.6,765.2,OFF,
20,0106,6/6/2016 8:02:25 PM ,3600,20.94,20.61,0.33,0.6,3152,0.039,0.335,0.295,0.5,0.875,0.5,0.50,STABLE,0.06,0.81,0.020,0.080,1649,1018,813,449,817,1.0,0.5,21.3,24.6,765.2,OFF,
21,0106,6/6/2016 8:22:25 PM ,3881,20.94,20.58,0.36,0.6,3586,0.039,0.375,0.336,0.5,0.924,0.5,0.50,STABLE,0.11,0.92,0.000,0.080,1316,623,664,320,342,1.0,0.5,21.0,24.6,765.0,OFF,
22,0106,6/6/2016 8:42:25 PM ,4153,20.93,20.55,0.38,0.7,3805,0.039,0.396,0.357,0.6,0.916,0.6,0.50,STABLE,0.07,0.99,0.020,0.100,1420,817,781,401,605,1.0,0.5,20.3,24.3,765.0,OFF,
23,0106,6/6/2016 9:02:25 PM ,3678,20.94,20.59,0.34,0.7,3598,0.040,0.377,0.337,0.6,0.978,0.5,0.50,STABLE,0.08,1.07,0.020,0.120,1347,840,673,378,370,1.1,0.5,20.6,24.3,765.0,OFF,
24,0106,6/6/2016 9:22:25 PM ,4335,20.93,20.53,0.40,0.7,4151,0.040,0.429,0.389,0.7,0.958,0.6,0.50,STABLE,0.06,1.13,0.080,0.200,2021,1331,1142,665,860,1.0,0.5,21.0,24.3,765.0,OFF,
25,0106,6/6/2016 9:42:25 PM ,4111,20.93,20.56,0.38,0.8,3745,0.040,0.391,0.351,0.7,0.911,0.6,0.50,STABLE,0.08,1.21,0.000,0.200,1140,566,741,396,310,1.1,0.5,21.4,24.2,765.0,OFF,
26,0106,6/6/2016 10:02:25 PM ,3732,20.93,20.59,0.35,0.8,3532,0.040,0.371,0.331,0.7,0.946,0.5,0.50,STABLE,0.07,1.28,0.040,0.240,1110,553,730,387,191,1.1,0.5,21.5,24.2,765.0,OFF,
27,0106,6/6/2016 10:22:25 PM ,3660,20.93,20.59,0.34,0.8,3526,0.040,0.370,0.330,0.8,0.963,0.5,0.50,STABLE,0.10,1.38,0.060,0.300,1072,488,599,265,225,1.1,0.5,21.8,24.2,765.0,OFF,
28,0106,6/6/2016 10:42:25 PM ,2975,20.93,20.66,0.27,0.9,2776,0.040,0.300,0.260,0.8,0.933,0.4,0.50,STABLE,0.04,1.42,0.000,0.300,675,229,396,156,43,1.1,0.5,22.3,24.2,765.0,OFF,
29,0106,6/6/2016 11:02:25 PM ,4046,20.93,20.56,0.38,0.9,3885,0.040,0.404,0.364,0.8,0.960,0.6,0.50,STABLE,0.10,1.52,0.060,0.360,1374,774,731,404,411,1.0,0.5,22.2,24.2,764.7,OFF,
30,0106,6/6/2016 11:22:25 PM ,3539,20.93,20.60,0.33,0.9,3491,0.040,0.367,0.327,0.9,0.987,0.5,0.50,STABLE,0.07,1.59,0.060,0.420,715,279,342,153,62,1.0,0.5,21.6,24.2,764.7,OFF,
31,0106,6/6/2016 11:42:25 PM ,3730,20.93,20.58,0.35,1.0,3803,0.040,0.396,0.356,0.9,1.020,0.5,0.50,DYNAMIC,0.16,1.75,0.060,0.480,575,252,378,195,44,1.0,0.5,21.0,24.2,764.7,OFF,
32,0106,6/7/2016 12:02:25 AM ,3674,20.93,20.59,0.34,1.0,3643,0.040,0.381,0.341,0.9,0.992,0.5,0.50,STABLE,0.00,1.75,0.040,0.520,1407,575,727,279,381,1.0,0.5,20.0,24.2,764.5,OFF,
33,0106,6/7/2016 12:22:25 AM ,2960,20.93,20.66,0.27,1.0,2545,0.040,0.278,0.239,1.0,0.860,0.4,0.50,STABLE,0.00,1.75,0.000,0.520,309,76,203,35,0,1.0,0.5,19.6,24.2,764.5,OFF,
34,0106,6/7/2016 12:42:25 AM ,3966,20.93,20.57,0.36,1.1,3403,0.040,0.359,0.319,1.0,0.858,0.5,0.50,STABLE,0.05,1.80,0.000,0.520,304,165,115,43,56,1.1,0.5,19.6,24.2,764.5,OFF,
35,0106,6/7/2016 1:02:25 AM ,3671,20.93,20.59,0.34,1.1,3557,0.040,0.373,0.333,1.0,0.969,0.5,0.50,DYNAMIC,0.09,1.89,0.020,0.540,1144,619,685,368,398,1.1,0.5,19.6,24.2,764.2,OFF,
36,0106,6/7/2016 1:22:25 AM ,2860,20.93,20.67,0.27,1.1,2781,0.040,0.300,0.261,1.0,0.972,0.4,0.50,STABLE,0.09,1.98,0.000,0.540,698,305,468,233,130,1.0,0.5,19.6,24.2,764.2,OFF,
37,0106,6/7/2016 1:42:25 AM ,4126,20.93,20.55,0.38,1.2,3995,0.040,0.414,0.374,1.1,0.968,0.6,0.50,STABLE,0.04,2.02,0.060,0.600,1080,641,507,245,439,1.0,0.5,19.6,24.2,764.0,OFF,
