Oxymax CSV File 

CSV Generation Date,6/13/2016 9:08:44 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0104
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G29
Subject Mass (G), 30.32 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,6/6/2016 1:36:25 PM ,4007,20.95,20.56,0.39,0.0,3361,0.040,0.381,0.340,0.0,0.839,0.6,0.50,STABLE,0.00,0.00,0.000,0.000,1484,1034,743,431,607,1.0,0.5,16.3,24.8,767.0,ON,
2,0104,6/6/2016 1:56:25 PM ,3817,20.94,20.57,0.38,0.0,3354,0.039,0.378,0.339,0.0,0.879,0.6,0.50,STABLE,0.02,0.02,0.000,0.000,2557,1710,1586,1011,1035,1.0,0.5,16.3,24.8,767.0,ON,
3,0104,6/6/2016 2:16:25 PM ,3453,20.94,20.61,0.34,0.1,2867,0.039,0.329,0.290,0.1,0.830,0.5,0.50,STABLE,-0.02,0.00,0.000,0.000,1423,855,1195,628,553,1.0,0.5,16.4,24.8,767.0,ON,
4,0104,6/6/2016 2:36:25 PM ,3516,20.94,20.60,0.34,0.1,2969,0.039,0.339,0.300,0.1,0.845,0.5,0.50,STABLE,0.00,0.00,0.000,0.000,842,376,677,312,225,1.0,0.5,16.2,24.8,766.8,ON,
5,0104,6/6/2016 2:56:25 PM ,3815,20.94,20.57,0.37,0.1,3229,0.039,0.366,0.327,0.1,0.846,0.6,0.50,STABLE,0.03,0.03,0.000,0.000,1859,1310,953,615,652,1.0,0.5,16.4,24.8,766.5,ON,
6,0104,6/6/2016 3:16:25 PM ,3430,20.94,20.61,0.34,0.2,3002,0.039,0.343,0.304,0.2,0.875,0.5,0.50,STABLE,0.04,0.07,0.000,0.000,769,312,720,287,239,1.0,0.5,16.4,24.8,766.5,ON,
7,0104,6/6/2016 3:36:25 PM ,3387,20.94,20.61,0.33,0.2,2813,0.039,0.324,0.285,0.2,0.831,0.5,0.50,STABLE,0.01,0.08,0.000,0.000,1291,734,667,375,208,1.0,0.5,16.4,24.8,766.5,ON,
8,0104,6/6/2016 3:56:25 PM ,3351,20.95,20.62,0.33,0.3,2754,0.039,0.318,0.279,0.2,0.822,0.5,0.50,STABLE,0.03,0.11,0.000,0.000,1053,599,514,310,168,1.0,0.5,16.4,24.8,766.3,ON,
9,0104,6/6/2016 4:16:25 PM ,3568,20.94,20.60,0.35,0.3,3031,0.039,0.346,0.307,0.2,0.850,0.5,0.50,STABLE,0.02,0.13,0.000,0.000,1145,559,678,340,602,1.1,0.5,19.5,24.9,766.3,ON,
10,0104,6/6/2016 4:36:25 PM ,3423,20.95,20.61,0.33,0.3,2811,0.039,0.324,0.284,0.3,0.821,0.5,0.50,STABLE,0.00,0.13,0.000,0.000,1410,940,720,429,476,1.0,0.5,19.6,25.0,766.3,ON,
11,0104,6/6/2016 4:56:25 PM ,3210,20.95,20.63,0.32,0.4,2775,0.039,0.320,0.281,0.3,0.864,0.5,0.50,STABLE,0.04,0.17,0.000,0.000,1093,694,645,357,251,1.0,0.5,19.6,25.0,766.3,ON,
12,0104,6/6/2016 5:16:25 PM ,2574,20.95,20.69,0.25,0.4,2217,0.039,0.263,0.224,0.3,0.861,0.4,0.50,STABLE,0.03,0.20,0.000,0.000,920,541,532,309,134,1.1,0.5,19.6,25.0,766.0,ON,
13,0104,6/6/2016 5:36:25 PM ,3288,20.95,20.62,0.32,0.4,2845,0.039,0.327,0.288,0.4,0.865,0.5,0.50,STABLE,0.05,0.25,0.000,0.000,734,357,422,174,291,1.0,0.5,19.9,25.0,766.0,ON,
14,0104,6/6/2016 5:56:25 PM ,3306,20.95,20.62,0.33,0.5,2995,0.039,0.342,0.303,0.4,0.906,0.5,0.50,STABLE,0.04,0.29,0.000,0.000,351,187,208,130,25,1.1,0.5,20.2,25.0,766.0,ON,
15,0104,6/6/2016 6:16:25 PM ,4344,20.95,20.52,0.43,0.5,3862,0.039,0.430,0.391,0.4,0.889,0.6,0.50,STABLE,0.02,0.31,0.000,0.000,1470,947,995,600,433,1.1,0.5,19.9,25.0,765.7,OFF,
16,0104,6/6/2016 6:36:25 PM ,4076,20.94,20.55,0.40,0.5,3365,0.039,0.380,0.340,0.5,0.826,0.6,0.50,STABLE,0.02,0.33,0.000,0.000,3329,2272,2092,1396,1006,1.1,0.5,19.6,24.9,765.7,OFF,
17,0104,6/6/2016 6:56:25 PM ,4260,20.94,20.53,0.42,0.6,3518,0.039,0.395,0.356,0.5,0.826,0.6,0.50,STABLE,0.03,0.36,0.000,0.000,2612,1799,1635,1038,1442,1.1,0.5,19.7,24.7,765.5,OFF,
18,0104,6/6/2016 7:16:25 PM ,4072,20.94,20.54,0.40,0.6,3426,0.039,0.386,0.347,0.5,0.842,0.6,0.50,STABLE,0.03,0.39,0.000,0.000,2552,1645,1658,1082,833,1.1,0.5,20.6,24.7,765.5,OFF,
19,0104,6/6/2016 7:36:25 PM ,4156,20.94,20.54,0.40,0.7,3336,0.039,0.377,0.338,0.6,0.803,0.6,0.50,STABLE,-0.01,0.38,0.000,0.000,2511,1604,1467,917,725,1.0,0.5,21.1,24.6,765.2,OFF,
20,0104,6/6/2016 7:56:25 PM ,4241,20.94,20.52,0.42,0.7,3634,0.039,0.407,0.368,0.6,0.857,0.6,0.50,DYNAMIC,0.05,0.43,0.000,0.000,2798,1808,2136,1391,1371,1.1,0.5,21.1,24.6,765.2,OFF,
21,0104,6/6/2016 8:16:25 PM ,4148,20.94,20.52,0.41,0.7,3796,0.039,0.423,0.384,0.6,0.915,0.6,0.50,STABLE,0.09,0.52,0.000,0.000,2726,1727,2015,1340,1630,1.0,0.5,21.2,24.6,765.0,OFF,
22,0104,6/6/2016 8:36:25 PM ,3779,20.94,20.56,0.37,0.8,3350,0.040,0.378,0.339,0.7,0.886,0.6,0.50,STABLE,0.06,0.58,0.000,0.000,1391,711,938,459,419,1.1,0.5,20.7,24.4,765.0,OFF,
23,0104,6/6/2016 8:56:25 PM ,3636,20.93,20.57,0.37,0.8,3546,0.040,0.398,0.359,0.7,0.975,0.6,0.50,STABLE,0.11,0.69,0.080,0.080,2157,1420,1327,829,714,1.0,0.5,20.6,24.3,765.0,OFF,
24,0104,6/6/2016 9:16:25 PM ,4322,20.94,20.50,0.44,0.9,4231,0.040,0.467,0.428,0.7,0.979,0.7,0.50,STABLE,0.08,0.77,0.020,0.100,1360,781,929,546,389,1.0,0.5,20.8,24.3,765.0,OFF,
25,0104,6/6/2016 9:36:25 PM ,4125,20.93,20.52,0.42,0.9,4091,0.040,0.453,0.414,0.8,0.992,0.6,0.50,STABLE,0.12,0.89,0.140,0.240,2103,1292,1297,814,738,1.1,0.5,21.3,24.2,765.0,OFF,
26,0104,6/6/2016 9:56:25 PM ,3316,20.93,20.60,0.33,0.9,3275,0.040,0.371,0.331,0.8,0.988,0.5,0.50,STABLE,0.09,0.98,0.100,0.340,1807,1020,917,499,478,1.1,0.5,21.6,24.2,765.0,OFF,
27,0104,6/6/2016 10:16:25 PM ,4033,20.93,20.52,0.41,1.0,4074,0.040,0.452,0.412,0.9,1.010,0.6,0.50,STABLE,0.10,1.08,0.040,0.380,2860,1941,1614,956,1000,1.0,0.5,21.7,24.2,765.0,OFF,
28,0104,6/6/2016 10:36:25 PM ,4086,20.93,20.52,0.41,1.0,4148,0.040,0.459,0.419,0.9,1.015,0.6,0.50,STABLE,0.18,1.26,0.040,0.420,1617,890,1221,692,569,1.0,0.5,22.2,24.2,765.0,OFF,
29,0104,6/6/2016 10:56:25 PM ,3916,20.93,20.54,0.40,1.1,3893,0.040,0.434,0.394,0.9,0.994,0.6,0.50,DYNAMIC,0.09,1.35,0.100,0.520,1841,1081,1164,688,660,1.0,0.5,22.2,24.2,765.0,OFF,
30,0104,6/6/2016 11:16:25 PM ,3809,20.93,20.55,0.38,1.1,3799,0.040,0.424,0.384,1.0,0.997,0.6,0.50,DYNAMIC,0.10,1.45,0.040,0.560,1840,1122,1286,732,537,1.0,0.5,21.8,24.2,764.7,OFF,
31,0104,6/6/2016 11:36:25 PM ,3922,20.93,20.54,0.40,1.1,3857,0.040,0.430,0.390,1.0,0.983,0.6,0.50,STABLE,0.12,1.57,0.020,0.580,1581,916,1040,600,396,1.1,0.5,21.2,24.2,764.7,OFF,
32,0104,6/6/2016 11:56:25 PM ,3036,20.93,20.63,0.31,1.2,3015,0.040,0.345,0.305,1.1,0.993,0.5,0.50,STABLE,0.07,1.64,0.080,0.660,1645,972,1086,677,626,1.1,0.5,20.2,24.2,764.7,OFF,
33,0104,6/7/2016 12:16:25 AM ,3569,20.93,20.58,0.36,1.2,3506,0.040,0.395,0.355,1.1,0.982,0.5,0.50,STABLE,0.08,1.72,0.060,0.720,2636,1763,1572,954,990,1.1,0.5,19.6,24.2,764.5,OFF,
34,0104,6/7/2016 12:36:25 AM ,3450,20.93,20.59,0.34,1.2,3203,0.040,0.364,0.324,1.1,0.928,0.5,0.50,STABLE,0.00,1.72,0.000,0.720,1220,343,546,170,155,1.0,0.5,19.6,24.2,764.5,OFF,
35,0104,6/7/2016 12:56:25 AM ,3066,20.93,20.63,0.31,1.3,2940,0.040,0.337,0.297,1.2,0.959,0.5,0.50,STABLE,0.13,1.85,0.060,0.780,1545,998,876,526,377,1.1,0.5,19.6,24.2,764.2,OFF,
36,0104,6/7/2016 1:16:25 AM ,3045,20.93,20.63,0.30,1.3,2876,0.040,0.331,0.291,1.2,0.944,0.5,0.50,STABLE,0.05,1.90,0.020,0.800,1340,786,853,494,324,1.0,0.5,19.6,24.2,764.2,OFF,
